d_common,lc,EA_mean,EA_std,IPF_mean,IPF_std
40,LC1,17.03600903793618,2.393726043454619,0.5526938976513015,0.10346511759829721
40,LC2,17.56462284370705,5.078354157536086,0.5924046009227082,0.17059632860639673
50,LC1,20.14724298759743,2.453366040286026,0.5526938976513015,0.10346511759829721
50,LC2,22.11558412622522,6.066425029061253,0.5924046009227082,0.17059632860639673
60,LC1,22.951411035325794,2.452763272076296,0.5526938976513015,0.10346511759829721
60,LC2,26.91124818943165,7.554873482425694,0.5924046009227082,0.17059632860639673
70,LC1,25.598498944882994,2.5066762825673288,0.5526938976513015,0.10346511759829721
70,LC2,32.04964233327795,9.448260349928086,0.5924046009227082,0.17059632860639673
80,LC1,28.157556180600764,2.6231198110548686,0.5526938976513015,0.10346511759829721
80,LC2,37.81160801428336,11.34790514843147,0.5924046009227082,0.17059632860639673
