angle,lc,EA,IPF,EA_full,EA_norm,IPF_norm,EA_std,IPF_std,neg_force_frac,nonmono_energy_frac,neg_ea_frac,ipf_fallback_frac
45.0,LC2,24.940659523010254,0.3860291490952174,36.33803176879883,0.03826903995444488,-0.009454406916126555,0.12047026133083838,0.0036958872173558244,0.0,0.0,0.0,0.0
45.05,LC2,24.973883416917587,0.3865058836009767,36.397854487101235,0.03909982838346688,-0.008319324759559491,0.12287102683102553,0.003743871667424708,0.0,0.0,0.0,0.0
45.1,LC2,25.007413122389053,0.3869859261645211,36.4581044514974,0.0399382638604132,-0.007176366274932709,0.1260624887130474,0.0038023063097680724,0.0,0.0,0.0,0.0
45.15,LC2,25.041259871588814,0.38746928837564254,36.518805185953774,0.04078462725398771,-0.006025503867503447,0.1299625701160823,0.003870378903774581,0.0,0.0,0.0,0.0
45.2,LC2,25.075436274210613,0.3879564338260227,36.57996516757541,0.04163923387905644,-0.004865633747553485,0.13447459237177253,0.003946999136959477,0.0,0.0,0.0,0.0
45.25,LC2,25.109930992126465,0.38844676812489826,36.6415818532308,0.04250180021721049,-0.0036981711311858544,0.13951340789332714,0.0040314574699846124,0.0,0.0,0.0,0.0
45.3,LC2,25.144762886895073,0.38894106944402057,36.7036681705051,0.04337279791589637,-0.0025212632285164793,0.14500135661069863,0.004122675503296284,0.0,0.0,0.0,0.0
45.35,LC2,25.17993206448025,0.38944004972775775,36.76623174879286,0.04425222962481886,-0.0013332149339069686,0.1508678147553641,0.0042203503937081645,0.0,0.0,0.0,0.0
45.4,LC2,25.215439902411568,0.38994258476628196,36.829284244113495,0.04514012979013977,-0.00013670293742360312,0.1570404655778331,0.004323679935898372,0.0,0.0,0.0,0.0
45.45,LC2,25.251295407613117,0.3904484808444977,36.89281717936198,0.046036723636763206,0.001067811534515713,0.16345106035551327,0.0044318068485205715,0.0,0.0,0.0,0.0
45.5,LC2,25.28750048743354,0.3909576220644845,36.95685746934679,0.04694205885937496,0.0022800525344813917,0.17006038753077748,0.004544008570588124,0.0,0.0,0.0,0.0
45.55,LC2,25.324066480000813,0.39147019386291504,37.02140129937066,0.04785641897638366,0.0035004615783607745,0.1768174295579838,0.0046595310648762005,0.0,0.0,0.0,0.0
45.6,LC2,25.360989570617676,0.3919866581757863,37.086461808946396,0.048779708598418285,0.0047301385137656525,0.18367904946645497,0.004777953271079372,0.0,0.0,0.0,0.0
45.65,LC2,25.398287879096138,0.39250726997852325,37.152047051323784,0.04971238082499193,0.005969690425041122,0.19061276585270692,0.004898339923578913,0.0,0.0,0.0,0.0
45.7,LC2,25.435956107245552,0.39303117493788403,37.218161053127716,0.050654303170866805,0.007217083185420955,0.19759026544167582,0.005020278568691986,0.0,0.0,0.0,0.0
45.75,LC2,25.474002626207138,0.39355820086267257,37.28481780158149,0.051605684962718563,0.008471906815866867,0.20458146030888708,0.005143250573600767,0.0,0.0,0.0,0.0
45.8,LC2,25.512430720859104,0.3940892351998223,37.35202280680338,0.05256660834139478,0.009736274285267995,0.21156360674958397,0.005266354474025039,0.0,0.0,0.0,0.0
45.85,LC2,25.551248020595974,0.3946237216393153,37.419788148668076,0.05353726408563768,0.01100886104596258,0.21851741488695428,0.005389371746141175,0.0,0.0,0.0,0.0
45.9,LC2,25.59045516120063,0.39516205754545,37.48810746934679,0.05451766809367591,0.012290613203423024,0.22542181699791952,0.005511203384393328,0.0,0.0,0.0,0.0
45.95,LC2,25.630059666103786,0.39570340017477673,37.557006412082245,0.05550800849454699,0.01357952422562652,0.23225911938558808,0.00563213322488376,0.0,0.0,0.0,0.0
46.0,LC2,25.670070754157173,0.39624813364611733,37.626490910847984,0.05650851581256478,0.014876508681196282,0.2390209432395981,0.005751829784898011,0.0,0.0,0.0,0.0
46.05,LC2,25.710490226745605,0.39679642683929867,37.696566899617515,0.057519235092709994,0.016181968664958263,0.24568690508422913,0.00586986771031997,0.0,0.0,0.0,0.0
46.1,LC2,25.751322004530167,0.39734787742296857,37.76724327935113,0.05854026437405871,0.017494946245121563,0.25224802088578707,0.005985771889052371,0.0,0.0,0.0,0.0
46.15,LC2,25.79256576961941,0.39790210458967423,37.83852577209473,0.0595715957074965,0.018814534737274773,0.25869510154279873,0.006099625497992875,0.0,0.0,0.0,0.0
46.2,LC2,25.834234873453777,0.3984600603580475,37.91042518615723,0.06061356295582273,0.02014300085244602,0.26501610572644085,0.006212316241143215,0.0,0.0,0.0,0.0
46.25,LC2,25.876329104105633,0.3990223639541202,37.982955084906685,0.061666160819627766,0.02148181893833029,0.27119920710140083,0.006323216465176906,0.0,0.0,0.0,0.0
46.3,LC2,25.918854501512314,0.3995873034000397,38.056123945448135,0.06272954033208264,0.022826912857182934,0.277243311019207,0.0064314668928379705,0.0,0.0,0.0,0.0
46.35,LC2,25.961808840433758,0.4001547280285094,38.12992435031467,0.06380364584938768,0.02417792387734568,0.2831299206664687,0.0065367081772142385,0.0,0.0,0.0,0.0
46.4,LC2,26.005211724175346,0.400724846455786,38.20439211527506,0.0648889675669224,0.02553534870419152,0.2888622519814797,0.006638910089811956,0.0,0.0,0.0,0.0
46.45,LC2,26.049048105875652,0.4012974467542436,38.279514948527016,0.06598512922661175,0.026898682748135005,0.2944256008656425,0.0067377910347798005,0.0,0.0,0.0,0.0
46.5,LC2,26.09333324432373,0.4018726067410575,38.355314042833115,0.06709251238594033,0.028268111288164838,0.29981903709848595,0.006832648997424823,0.0,0.0,0.0,0.0
46.55,LC2,26.138068411085342,0.40245023204220665,38.43179194132487,0.06821114884136534,0.029643409624230926,0.3050354248481788,0.006923245444565964,0.0,0.0,0.0,0.0
46.6,LC2,26.183258374532063,0.4030301537778642,38.508963690863716,0.06934115782960061,0.031024175661507575,0.31007473613818193,0.007010086086773068,0.0,0.0,0.0,0.0
46.65,LC2,26.22890302870009,0.4036131799221039,38.58683522542318,0.07048253670094164,0.03241233314778918,0.31492312955819834,0.007093057313683129,0.0,0.0,0.0,0.0
46.7,LC2,26.275004598829483,0.4041980819569694,38.66540760464139,0.07163534109918807,0.03380495704032276,0.31958502946276535,0.007172287176476161,0.0,0.0,0.0,0.0
46.75,LC2,26.321569124857586,0.40478463967641193,38.74470329284668,0.07279972205751103,0.035201523038992176,0.32405145683064557,0.00724746146479699,0.0,0.0,0.0,0.0
46.8,LC2,26.368592156304253,0.40537285308043164,38.82471254136827,0.07397556828831076,0.036602031143797675,0.32832034421434775,0.007318251812262377,0.0,0.0,0.0,0.0
46.85,LC2,26.41608344184028,0.40596234798431396,38.90546904669868,0.07516312356442488,0.03800559043875225,0.3323974658254016,0.007385487730129183,0.0,0.0,0.0,0.0
46.9,LC2,26.464044994778103,0.4065535416205724,38.98696984185113,0.07636243823024359,0.03941319433460229,0.3362677844684392,0.007450913883084416,0.0,0.0,0.0,0.0
46.95,LC2,26.512466854519314,0.40714560283554924,39.06921259562174,0.07757326321352,0.04082286389406762,0.33993967750235676,0.007512248434567066,0.0,0.0,0.0,0.0
