lc,angle_deg,d_eval_mm,EA_J,EA_std
LC1,50.0,45.0,17.291959868537056,0.26244374695429584
LC1,50.0,46.52173913043478,17.79468006097176,0.2740375847340469
LC1,50.0,48.04347826086956,18.291143292966094,0.2850009076800358
LC1,50.0,49.565217391304344,18.78113432437325,0.2953135466037817
LC1,50.0,51.08695652173913,19.26432528472753,0.30492677762502296
LC1,50.0,52.608695652173914,19.740342799016243,0.31376460837877573
LC1,50.0,54.130434782608695,20.20881698903254,0.3217202866204092
LC1,50.0,55.65217391304348,20.66944860836158,0.3286837679966525
LC1,50.0,57.173913043478265,21.12205972994007,0.3345479101361645
LC1,50.0,58.69565217391305,21.566635707726228,0.33923218450591286
LC1,50.0,60.21739130434783,22.00335273189821,0.3427015827689251
LC1,50.0,61.73913043478261,22.43257712396447,0.3449759106121613
LC1,50.0,63.26086956521739,22.854851400218724,0.34613372114909985
LC1,50.0,64.78260869565217,23.2708377469565,0.3463057579070385
LC1,50.0,66.30434782608695,23.68125270069509,0.3456656146539541
LC1,50.0,67.82608695652175,24.086783174155418,0.3444275632045899
LC1,50.0,69.34782608695653,24.488008471502773,0.34283034455603945
LC1,50.0,70.86956521739131,24.885347260369198,0.3411225561723939
LC1,50.0,72.3913043478261,25.27905046767083,0.3395361138328639
LC1,50.0,73.91304347826087,25.66924197892636,0.3382562731727585
LC1,50.0,75.43478260869566,26.056005551619233,0.33739296640890887
LC1,50.0,76.95652173913044,26.439475796648843,0.33697254971331303
LC1,50.0,78.47826086956522,26.81992191738552,0.33694069149554606
LC1,50.0,80.0,27.197783682081436,0.3371884553732228
LC1,56.25,45.0,16.77071412404378,0.44669926118593223
LC1,56.25,46.52173913043478,17.189988016506323,0.44591034611502295
LC1,56.25,48.04347826086956,17.603301048278812,0.44498204362392096
LC1,56.25,49.565217391304344,18.011060452115707,0.4439797375858923
LC1,56.25,51.08695652173913,18.413555085371083,0.44300336984939315
LC1,56.25,52.608695652173914,18.81098247380648,0.4421718306987342
LC1,56.25,54.130434782608695,19.20348558564117,0.44161012032036817
LC1,56.25,55.65217391304348,19.5911887763203,0.44142288030572885
LC1,56.25,57.173913043478265,19.974231438936243,0.4416794508870441
LC1,56.25,58.69565217391305,20.352799226696366,0.44239966313262885
LC1,56.25,60.21739130434783,20.72714320012337,0.4435430963440466
LC1,56.25,61.73913043478261,21.09758402414368,0.44500594361956625
LC1,56.25,63.26086956521739,21.46449799929264,0.44662803761561026
LC1,56.25,64.78260869565217,21.82828572867573,0.4482038442200969
LC1,56.25,66.30434782608695,22.189330326762175,0.4495014555308536
LC1,56.25,67.82608695652175,22.547946929931648,0.4502921494087165
LC1,56.25,69.34782608695653,22.904334413832515,0.4503876111664178
LC1,56.25,70.86956521739131,23.25853764262176,0.44968023144053254
