pareto_lc,pareto_angle,pareto_EA,pareto_IPF,counter_lc,counter_best_EA,counter_best_IPF,counter_best_angle,EA_gap_vs_pareto,IPF_gap_vs_pareto,dominates_pareto
LC2,45.0,24.940659523010254,0.3860291490952174,LC1,25.358535236782497,0.4653511196374893,52.8,0.41787571377224353,0.07932197054227191,False
LC2,45.05,24.973883416917587,0.3865058836009767,LC1,25.358535236782497,0.4653511196374893,52.8,0.38465181986491004,0.07884523603651261,False
LC2,45.1,25.007413122389053,0.3869859261645211,LC1,25.358535236782497,0.4653511196374893,52.8,0.3511221143934442,0.07836519347296822,False
LC2,45.15,25.041259871588814,0.38746928837564254,LC1,25.358535236782497,0.4653511196374893,52.8,0.3172753651936837,0.07788183126184678,False
LC2,45.2,25.075436274210613,0.3879564338260227,LC1,25.358535236782497,0.4653511196374893,52.8,0.28309896257188427,0.07739468581146663,False
LC2,45.25,25.109930992126465,0.38844676812489826,LC1,25.358535236782497,0.4653511196374893,52.8,0.2486042446560326,0.07690435151259106,False
LC2,45.3,25.144762886895073,0.38894106944402057,LC1,25.358535236782497,0.4653511196374893,52.8,0.21377234988742444,0.07641005019346875,False
LC2,45.35,25.17993206448025,0.38944004972775775,LC1,25.358535236782497,0.4653511196374893,52.8,0.1786031723022461,0.07591106990973157,False
LC2,45.4,25.215439902411568,0.38994258476628196,LC1,25.358535236782497,0.4653511196374893,52.8,0.1430953343709298,0.07540853487120736,False
LC2,45.45,25.251295407613117,0.3904484808444977,LC1,25.358535236782497,0.4653511196374893,52.8,0.10723982916938013,0.07490263879299164,False
LC2,45.5,25.28750048743354,0.3909576220644845,LC1,25.358535236782497,0.4653511196374893,52.8,0.07103474934895715,0.07439349757300484,False
LC2,45.55,25.324066480000813,0.39147019386291504,LC1,25.358535236782497,0.4653511196374893,52.8,0.03446875678168482,0.07388092577457428,False
LC2,45.6,25.360989570617676,0.3919866581757863,LC1,25.358535236782497,0.4653511196374893,52.8,-0.002454333835178346,0.073364461461703,False
LC2,45.65,25.398287879096138,0.39250726997852325,LC1,25.358535236782497,0.4653511196374893,52.8,-0.03975264231364051,0.07284384965896606,False
LC2,45.7,25.435956107245552,0.39303117493788403,LC1,25.358535236782497,0.4653511196374893,52.8,-0.07742087046305457,0.07231994469960529,False
LC2,45.75,25.474002626207138,0.39355820086267257,LC1,25.358535236782497,0.4653511196374893,52.8,-0.11546738942464074,0.07179291877481675,False
LC2,45.8,25.512430720859104,0.3940892351998223,LC1,25.358535236782497,0.4653511196374893,52.8,-0.1538954840766067,0.07126188443766701,False
LC2,45.85,25.551248020595974,0.3946237216393153,LC1,25.358535236782497,0.4653511196374893,52.8,-0.19271278381347656,0.07072739799817401,False
LC2,45.9,25.59045516120063,0.39516205754545,LC1,25.358535236782497,0.4653511196374893,52.8,-0.2319199244181327,0.07018906209203934,False
LC2,45.95,25.630059666103786,0.39570340017477673,LC1,25.358535236782497,0.4653511196374893,52.8,-0.27152442932128906,0.06964771946271259,False
LC2,46.0,25.670070754157173,0.39624813364611733,LC1,25.358535236782497,0.4653511196374893,52.8,-0.31153551737467566,0.06910298599137199,False
LC2,46.05,25.710490226745605,0.39679642683929867,LC1,25.358535236782497,0.4653511196374893,52.8,-0.35195498996310803,0.06855469279819065,False
LC2,46.1,25.751322004530167,0.39734787742296857,LC1,25.358535236782497,0.4653511196374893,52.8,-0.3927867677476691,0.06800324221452075,False
LC2,46.15,25.79256576961941,0.39790210458967423,LC1,25.358535236782497,0.4653511196374893,52.8,-0.43403053283691406,0.06744901504781509,False
LC2,46.2,25.834234873453777,0.3984600603580475,LC1,25.358535236782497,0.4653511196374893,52.8,-0.4756996366712798,0.06689105927944183,False
LC2,46.25,25.876329104105633,0.3990223639541202,LC1,25.358535236782497,0.4653511196374893,52.8,-0.5177938673231353,0.0663287556833691,False
LC2,46.3,25.918854501512314,0.3995873034000397,LC1,25.358535236782497,0.4653511196374893,52.8,-0.5603192647298165,0.06576381623744965,False
LC2,46.35,25.961808840433758,0.4001547280285094,LC1,25.358535236782497,0.4653511196374893,52.8,-0.6032736036512603,0.06519639160897994,False
LC2,46.4,26.005211724175346,0.400724846455786,LC1,25.358535236782497,0.4653511196374893,52.8,-0.646676487392849,0.06462627318170333,False
LC2,46.45,26.049048105875652,0.4012974467542436,LC1,25.358535236782497,0.4653511196374893,52.8,-0.6905128690931548,0.0640536728832457,False
LC2,46.5,26.09333324432373,0.4018726067410575,LC1,25.358535236782497,0.4653511196374893,52.8,-0.734798007541233,0.0634785128964318,False
LC2,46.55,26.138068411085342,0.40245023204220665,LC1,25.358535236782497,0.4653511196374893,52.8,-0.7795331743028449,0.06290088759528267,False
LC2,46.6,26.183258374532063,0.4030301537778642,LC1,25.358535236782497,0.4653511196374893,52.8,-0.8247231377495652,0.0623209658596251,False
LC2,46.65,26.22890302870009,0.4036131799221039,LC1,25.358535236782497,0.4653511196374893,52.8,-0.870367791917591,0.06173793971538544,False
LC2,46.7,26.275004598829483,0.4041980819569694,LC1,25.358535236782497,0.4653511196374893,52.8,-0.9164693620469855,0.06115303768051994,False
LC2,46.75,26.321569124857586,0.40478463967641193,LC1,25.358535236782497,0.4653511196374893,52.8,-0.9630338880750884,0.06056647996107739,False
LC2,46.8,26.368592156304253,0.40537285308043164,LC1,25.358535236782497,0.4653511196374893,52.8,-1.0100569195217552,0.05997826655705768,False
LC2,46.85,26.41608344184028,0.40596234798431396,LC1,25.358535236782497,0.4653511196374893,52.8,-1.0575482050577811,0.059388771653175354,False
LC2,46.9,26.464044994778103,0.4065535416205724,LC1,25.358535236782497,0.4653511196374893,52.8,-1.1055097579956055,0.05879757801691693,False
LC2,46.95,26.512466854519314,0.40714560283554924,LC1,25.358535236782497,0.4653511196374893,52.8,-1.1539316177368164,0.05820551680194008,False
LC2,47.0,26.561365445454914,0.4077384074529012,LC1,25.358535236782497,0.4653511196374893,52.8,-1.2028302086724167,0.05761271218458813,False
LC2,47.05,26.610726674397785,0.40833228329817456,LC1,25.358535236782497,0.4653511196374893,52.8,-1.2521914376152878,0.05701883633931476,False
LC2,47.1,26.66055923038059,0.4089265035258399,LC1,25.358535236782497,0.4653511196374893,52.8,-1.302023993598091,0.056424616111649395,False
LC2,47.15,26.710861841837566,0.4095203032096227,LC1,25.358535236782497,0.4653511196374893,52.8,-1.3523266050550689,0.055830816427866636,False
LC2,47.2,26.76163058810764,0.4101133959160911,LC1,25.358535236782497,0.4653511196374893,52.8,-1.4030953513251418,0.055237723721398235,False
LC2,47.25,26.812868118286133,0.4107058859533734,LC1,25.358535236782497,0.4653511196374893,52.8,-1.4543328815036354,0.054645233684115946,False
LC2,47.3,26.864572630988228,0.41129759616321987,LC1,25.358535236782497,0.4653511196374893,52.8,-1.5060373942057304,0.05405352347426945,False
LC2,47.35,26.91673967573378,0.41188785764906144,LC1,25.358535236782497,0.4653511196374893,52.8,-1.5582044389512824,0.05346326198842788,False
LC2,47.4,26.96936904059516,0.4124763442410363,LC1,25.358535236782497,0.4653511196374893,52.8,-1.610833803812664,0.05287477539645302,False
LC2,47.45,27.022452142503525,0.41306250790754956,LC1,25.358535236782497,0.4653511196374893,52.8,-1.6639169057210275,0.05228861172993976,False
LC2,47.5,27.07599141862657,0.4136461151970757,LC1,25.358535236782497,0.4653511196374893,52.8,-1.7174561818440743,0.05170500444041359,False
LC2,47.55,27.129984431796604,0.414227823416392,LC1,25.358535236782497,0.4653511196374893,52.8,-1.7714491950141067,0.05112329622109729,False
LC2,47.6,27.18441761864556,0.41480597025818294,LC1,25.358535236782497,0.4653511196374893,52.8,-1.8258823818630638,0.050545149379306376,False
LC2,47.65,27.239289177788628,0.4153805938031938,LC1,25.358535236782497,0.4653511196374893,52.8,-1.8807539410061302,0.04997052583429551,False
LC2,47.7,27.294600592719185,0.41595087117618984,LC1,25.358535236782497,0.4653511196374893,52.8,-1.9360653559366874,0.04940024846129948,False
LC2,47.75,27.35033310784234,0.41651707887649536,LC1,25.358535236782497,0.4653511196374893,52.8,-1.9917978710598412,0.04883404076099396,False
LC2,47.8,27.40649488237169,0.4170783758163452,LC1,25.358535236782497,0.4653511196374893,52.8,-2.0479596455891915,0.048272743821144104,False
LC2,47.85,27.46306218041314,0.41763413945833844,LC1,25.358535236782497,0.4653511196374893,52.8,-2.104526943630642,0.04771698017915088,False
LC2,47.9,27.520037015279133,0.41818372739685905,LC1,25.358535236782497,0.4653511196374893,52.8,-2.1615017784966355,0.04716739224063027,False
